method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DAQO,0,2011234,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.750521691999893,444.41009700855096,2993.0,46.0,118.0,214.0,442.0,ok,
DCQO,0,2011234,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,0,2011234,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032914590010477696,911449.9068786852,nan,46.0,102.0,166.0,294.0,ok,
DAQO,1,2011251,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.618745289000799,453.2581129818482,2994.0,54.0,122.0,214.0,442.0,ok,
DCQO,1,2011251,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,1,2011251,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033394910005881684,898340.4954442532,nan,42.0,102.0,170.0,306.0,ok,
DAQO,2,2011268,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.620618944001762,453.12983957760935,2996.0,54.0,122.0,214.0,430.0,ok,
DCQO,2,2011268,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,2,2011268,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003329291999762063,901092.4845926411,nan,50.0,102.0,170.0,302.0,ok,
DAQO,3,2011285,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.645261334000679,451.44951405453537,2997.0,54.0,118.0,210.0,434.0,ok,
DCQO,3,2011285,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,3,2011285,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032617839988233754,919742.0801261491,nan,46.0,102.0,170.0,298.0,ok,
DAQO,4,2011302,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.673526622000281,449.53742899744344,2995.0,46.0,122.0,210.0,426.0,ok,
