method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DAQO,0,1611234,16,10,0.05,0.5,0.05,0.0,1.0,100,0.8520312590007961,117.3665859598545,100.0,36.0,68.0,132.0,276.0,ok,
DCQO,0,1611234,16,10,0.05,0.5,0.05,0.1,1.0,100,2.1470878569998604,46.57471266207553,98.0,36.0,52.0,152.0,432.0,ok,
RANDOM,0,1611234,16,10,0.05,0.5,0.05,0.0,1.0,100,0.00267231200086826,37420.78019614066,nan,48.0,60.0,104.0,196.0,ok,
DAQO,1,1611251,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7403523729990411,135.07081715010526,100.0,28.0,72.0,132.0,304.0,ok,
DCQO,1,1611251,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0038625710003544,49.903621858697974,100.0,32.0,52.0,144.0,408.0,ok,
RANDOM,1,1611251,16,10,0.05,0.5,0.05,0.0,1.0,100,0.0024964360000012675,40057.105409451404,nan,40.0,60.0,104.0,192.0,ok,
DAQO,2,1611268,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7426853100005246,134.64653017026734,100.0,40.0,64.0,116.0,248.0,ok,
DCQO,2,1611268,16,10,0.05,0.5,0.05,0.1,1.0,100,1.994547311000133,50.13668988872299,99.0,32.0,44.0,132.0,396.0,ok,
RANDOM,2,1611268,16,10,0.05,0.5,0.05,0.0,1.0,100,0.0025757169987628004,38824.14102482268,nan,36.0,60.0,104.0,188.0,ok,
DAQO,3,1611285,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7453401000002486,134.16693936092616,100.0,44.0,68.0,148.0,264.0,ok,
DCQO,3,1611285,16,10,0.05,0.5,0.05,0.1,1.0,100,2.00250205500015,49.9375267807116,100.0,24.0,48.0,136.0,396.0,ok,
RANDOM,3,1611285,16,10,0.05,0.5,0.05,0.0,1.0,100,0.002491650999218109,40134.03162456557,nan,36.0,60.0,108.0,184.0,ok,
DAQO,4,1611302,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7379834680014028,135.50439045852707,100.0,40.0,72.0,132.0,300.0,ok,
DCQO,4,1611302,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9954704589999892,50.11349556641096,100.0,28.0,44.0,136.0,416.0,ok,
RANDOM,4,1611302,16,10,0.05,0.5,0.05,0.0,1.0,100,0.002453069000694086,40765.26178909171,nan,32.0,60.0,104.0,196.0,ok,
DAQO,5,1611319,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7426400149997789,134.6547425134771,100.0,36.0,52.0,116.0,312.0,ok,
DCQO,5,1611319,16,10,0.05,0.5,0.05,0.1,1.0,100,2.000476207000247,49.98809765898288,100.0,24.0,44.0,136.0,384.0,ok,
RANDOM,5,1611319,16,10,0.05,0.5,0.05,0.0,1.0,100,0.002546669000366819,39266.979723551085,nan,36.0,64.0,96.0,188.0,ok,
DAQO,6,1611336,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7427611660004914,134.63277911857585,100.0,44.0,80.0,124.0,248.0,ok,
DCQO,6,1611336,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0039881709999463,49.90049414817762,100.0,32.0,44.0,144.0,440.0,ok,
