method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,total_elapsed_s,tts_s,success,tts_hit_s,mts_t_hit_s,target_e,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters,tau_dcqo_s,fast_outlier
DAQO,0,1611234,16,10,0.05,0.5,0.05,0.0,1.0,100,0.8520312590007961,1.3170145269996283,1.3274368069996854,1.3274368069996854,1,1.3274153639995347,0.01040083699990646,24,40.0,60.0,124.0,244.0,16,40,24,0.010422280000057071,2,2.0067643902000416,1
DCQO,0,1611234,16,10,0.05,0.5,0.05,0.1,1.0,100,2.1470878569998604,2.997349703000509,3.0398792260020855,3.0398792260020855,1,3.039860064001914,0.04251036100140482,24,32.0,44.0,128.0,396.0,16,32,24,0.04252952300157631,5,2.0067643902000416,0
DAQO,1,1611251,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7403523729990411,0.9715362939987244,0.9954338930001541,0.9954338930001541,1,0.995413340999221,0.023877047000496532,24,40.0,64.0,124.0,292.0,16,40,24,0.023897599001429626,3,2.0067643902000416,1
DCQO,1,1611251,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0038625710003544,2.738634755000021,2.7562868789991626,2.7562868789991626,1,2.756269875999351,0.017635120999329956,24,32.0,48.0,116.0,560.0,16,32,24,0.017652123999141622,3,2.0067643902000416,0
DAQO,2,1611268,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7426853100005246,0.9748040690010384,0.9874747880021459,0.9874747880021459,1,0.9874442750024173,0.012640206001378829,24,44.0,68.0,124.0,232.0,16,44,24,0.0126707190011075,2,2.0067643902000416,1
DCQO,2,1611268,16,10,0.05,0.5,0.05,0.1,1.0,100,1.994547311000133,2.7036942769991583,2.706430846999865,2.706430846999865,1,2.7036942769991583,0.0,24,24.0,52.0,144.0,568.0,16,24,24,0.002736570000706706,1,2.0067643902000416,0
DAQO,3,1611285,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7453401000002486,0.9745078770010878,0.9829447830015852,0.9829447830015852,1,0.982925944001181,0.008418067000093288,24,40.0,72.0,128.0,296.0,16,40,24,0.008436906000497402,2,2.0067643902000416,1
DCQO,3,1611285,16,10,0.05,0.5,0.05,0.1,1.0,100,2.00250205500015,2.7857998950003093,2.7960788439995667,2.7960788439995667,1,2.796059932999924,0.010260037999614724,24,36.0,52.0,128.0,344.0,16,36,24,0.010278948999257409,2,2.0067643902000416,0
DAQO,4,1611302,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7379834680014028,0.975030962999881,0.9855261590000737,0.9855261590000737,1,0.9854903140003444,0.010459351000463357,24,40.0,72.0,136.0,272.0,16,40,24,0.010495196000192664,2,2.0067643902000416,1
DCQO,4,1611302,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9954704589999892,2.69862428200031,2.7136816330003057,2.7136816330003057,1,2.7136620780001977,0.015037795999887749,24,36.0,48.0,152.0,384.0,16,36,24,0.015057350999995833,2,2.0067643902000416,0
